"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"10.10.2022","19.000,0","17.400,0","19.000,0","17.400,0","76,66K","7,59%"
"07.10.2022","17.660,0","17.490,0","17.660,0","17.100,0","124,02K","0,97%"
"06.10.2022","17.490,0","17.700,0","18.200,0","17.420,0","123,78K","-1,19%"
"05.10.2022","17.700,0","16.650,0","17.700,0","16.230,0","110,72K","5,73%"
"04.10.2022","16.740,0","16.700,0","16.800,0","16.470,0","144,64K","3,40%"
"03.10.2022","16.190,0","16.500,0","17.130,0","15.900,0","93,53K","-1,88%"
"30.09.2022","16.500,0","16.400,0","17.850,0","16.400,0","247,62K","0,61%"
"29.09.2022","16.400,0","15.790,0","16.400,0","15.770,0","746,93K","3,86%"
"28.09.2022","15.790,0","15.360,0","16.000,0","15.360,0","208,56K","1,94%"
"27.09.2022","15.490,0","15.000,0","15.780,0","13.560,0","210,23K","4,66%"
"26.09.2022","14.800,0","16.000,0","16.000,0","14.800,0","182,50K","-4,58%"
"23.09.2022","15.510,0","16.100,0","16.100,0","15.510,0","83,41K","-4,90%"
"22.09.2022","16.310,0","16.490,0","17.000,0","16.230,0","368,75K","-1,03%"
"21.09.2022","16.480,0","17.000,0","17.000,0","16.300,0","192,58K","-3,06%"
"20.09.2022","17.000,0","18.200,0","18.200,0","17.000,0","176,42K","-4,17%"
"19.09.2022","17.740,0","17.600,0","17.820,0","17.150,0","108,21K","0,85%"
"16.09.2022","17.590,0","17.920,0","17.920,0","17.500,0","959,07K","-2,49%"
"15.09.2022","18.040,0","17.990,0","18.100,0","17.910,0","119,87K","0,33%"
"14.09.2022","17.980,0","17.870,0","18.200,0","17.260,0","221,71K","0,62%"
"13.09.2022","17.870,0","17.690,0","18.000,0","17.390,0","100,32K","1,59%"
"12.09.2022","17.590,0","16.950,0","17.590,0","16.950,0","120,41K","4,08%"
"09.09.2022","16.900,0","17.380,0","17.380,0","16.900,0","82,47K","-3,98%"
"07.09.2022","17.600,0","17.700,0","18.000,0","17.600,0","77,04K","-1,68%"
"06.09.2022","17.900,0","18.100,0","18.540,0","17.700,0","90,93K","-1,49%"
"05.09.2022","18.170,0","18.950,0","18.950,0","18.010,0","29,26K","-1,73%"
"02.09.2022","18.490,0","18.750,0","19.000,0","18.490,0","220,74K","-0,27%"
"01.09.2022","18.540,0","19.960,0","19.960,0","18.480,0","334,13K","-3,29%"
"31.08.2022","19.170,0","19.560,0","19.890,0","19.170,0","1,81M","-3,08%"
"30.08.2022","19.780,0","19.990,0","19.990,0","19.560,0","65,91K","-1,10%"
"29.08.2022","20.000,0","20.160,0","20.280,0","19.700,0","160,33K","-0,10%"
"26.08.2022","20.020,0","20.140,0","20.320,0","20.020,0","91,64K","-0,35%"
"25.08.2022","20.090,0","19.800,0","20.160,0","19.800,0","490,52K","1,98%"
"24.08.2022","19.700,0","20.280,0","20.290,0","19.700,0","135,33K","-4,37%"
"23.08.2022","20.600,0","19.960,0","20.600,0","19.500,0","189,27K","3,21%"
"22.08.2022","19.960,0","20.450,0","20.450,0","19.940,0","348,09K","-3,34%"
"19.08.2022","20.650,0","20.830,0","21.000,0","20.500,0","59,70K","-1,85%"
"18.08.2022","21.040,0","21.350,0","21.350,0","20.900,0","217,42K","-1,45%"
"17.08.2022","21.350,0","20.830,0","21.350,0","20.830,0","295,63K","1,67%"
"16.08.2022","21.000,0","21.000,0","21.200,0","20.830,0","514,06K","-0,47%"
"12.08.2022","21.100,0","21.200,0","21.380,0","20.670,0","178,06K","0,00%"
"11.08.2022","21.100,0","20.620,0","21.100,0","20.550,0","82,10K","3,43%"
"10.08.2022","20.400,0","21.360,0","21.360,0","20.400,0","95,26K","-4,49%"
"09.08.2022","21.360,0","20.820,0","21.360,0","20.820,0","135,11K","0,75%"
"08.08.2022","21.200,0","20.910,0","21.430,0","20.900,0","230,70K","1,44%"
"05.08.2022","20.900,0","20.460,0","20.900,0","20.390,0","84,09K","0,00%"
"04.08.2022","20.900,0","20.950,0","20.950,0","20.360,0","140,39K","0,00%"
"03.08.2022","20.900,0","20.700,0","21.000,0","20.700,0","374,83K","0,97%"
"02.08.2022","20.700,0","20.500,0","20.700,0","20.380,0","160,97K","0,98%"
"01.08.2022","20.500,0","20.400,0","20.500,0","20.130,0","283,53K","-0,49%"
"29.07.2022","20.600,0","20.510,0","20.690,0","20.210,0","214,12K","0,44%"
"28.07.2022","20.510,0","20.580,0","20.890,0","20.300,0","150,92K","0,15%"
"27.07.2022","20.480,0","20.630,0","20.790,0","20.090,0","121,24K","0,00%"
"26.07.2022","20.480,0","20.600,0","20.600,0","20.270,0","27,57K","-0,10%"
"25.07.2022","20.500,0","19.600,0","20.800,0","19.600,0","146,34K","2,50%"
"22.07.2022","20.000,0","21.260,0","21.260,0","20.000,0","220,89K","-6,15%"
"21.07.2022","21.310,0","22.100,0","22.100,0","21.260,0","188,09K","-3,97%"
"19.07.2022","22.190,0","21.590,0","22.190,0","21.050,0","142,22K","3,26%"
"18.07.2022","21.490,0","20.600,0","21.490,0","20.600,0","62,23K","0,00%"
"15.07.2022","21.490,0","21.000,0","21.490,0","19.600,0","119,40K","1,37%"
"14.07.2022","21.200,0","21.500,0","21.500,0","21.000,0","526,64K","-1,40%"
"13.07.2022","21.500,0","21.600,0","21.600,0","21.200,0","134,88K","0,00%"
"12.07.2022","21.500,0","21.300,0","21.600,0","21.260,0","131,43K","0,94%"
"11.07.2022","21.300,0","21.620,0","21.620,0","21.300,0","401,92K","-3,97%"
